"Id,N,6,0","Notes,C,30","POINT_X,N,19,11","POINT_Y,N,19,11","X,N,19,6","Y,N,19,6","Latitude,C,25","Longitude,C,25"
0,,2234744.5367,485575.271561,-81.535452,40.995442,"-81? 32' 7.627""","40? 59' 43.590"""
0,,2234744.5367,485213.280681,-81.535466,40.994448,"-81? 32' 7.679""","40? 59' 40.013"""
0,,2233872.46776,486529.611155,-81.538573,40.998087,"-81? 32' 18.862""","40? 59' 53.114"""
0,,2233658.56406,486796.168076,-81.539337,40.998825,"-81? 32' 21.613""","40? 59' 55.771"""
0,,2233257.08326,487247.011264,-81.540774,41.000075,"-81? 32' 26.785""","41? 0' 0.270"""
0,,2233092.54195,487431.29753,-81.541362,41.000586,"-81? 32' 28.904""","41? 0' 2.108"""
0,,2233115.57773,487523.440663,-81.541275,41.000838,"-81? 32' 28.591""","41? 0' 3.016"""
0,,2232921.41899,487750.50767,-81.54197,41.001467,"-81? 32' 31.090""","41? 0' 5.281"""
0,,2232727.26024,488063.136158,-81.542661,41.002331,"-81? 32' 33.578""","41? 0' 8.391"""
0,,2232496.90241,488326.402253,-81.543485,41.00306,"-81? 32' 36.545""","41? 0' 11.017"""
0,,2232217.18219,488415.25456,-81.544494,41.003313,"-81? 32' 40.180""","41? 0' 11.925"""
0,,2231950.62526,488602.831652,-81.545453,41.003835,"-81? 32' 43.630""","41? 0' 13.808"""
0,,2231674.19587,488685.102307,-81.546451,41.00407,"-81? 32' 47.224""","41? 0' 14.650"""
0,,2231575.47108,488783.827092,-81.546805,41.004343,"-81? 32' 48.497""","41? 0' 15.636"""
0,,2231197.02607,489037.220709,-81.548166,41.00505,"-81? 32' 53.397""","41? 0' 18.181"""
0,,2230917.30584,489277.45102,-81.54917,41.005718,"-81? 32' 57.011""","41? 0' 20.585"""
0,,2230769.21866,489590.079508,-81.549694,41.00658,"-81? 32' 58.898""","41? 0' 23.690"""
0,,2230242.68647,489399.211589,-81.551609,41.006072,"-81? 33' 5.793""","41? 0' 21.860"""
0,,2229811.58824,489244.542758,-81.553177,41.005661,"-81? 33' 11.438""","41? 0' 20.378"""
0,,2229364.03588,489290.614325,-81.554797,41.0058,"-81? 33' 17.269""","41? 0' 20.882"""
0,,2229364.03588,489205.052844,-81.5548,41.005566,"-81? 33' 17.281""","41? 0' 20.036"""
0,,2229581.23041,489300.486804,-81.55401,41.005821,"-81? 33' 14.435""","41? 0' 20.956"""
0,,2230729.72875,490060.667653,-81.549818,41.007873,"-81? 32' 59.347""","41? 0' 28.344"""
0,,2230719.85627,490376.586966,-81.549842,41.008741,"-81? 32' 59.430""","41? 0' 31.466"""
0,,2230660.6214,490656.307192,-81.550045,41.00951,"-81? 33' 0.163""","41? 0' 34.236"""
0,,2230696.82049,490978.808158,-81.549901,41.010394,"-81? 32' 59.645""","41? 0' 37.419"""
0,,2230338.12043,491044.624682,-81.551199,41.010586,"-81? 33' 4.315""","41? 0' 38.108"""
0,,2230005.74699,491038.04303,-81.552403,41.010577,"-81? 33' 8.651""","41? 0' 38.079"""
0,,2230673.7847,492022.000059,-81.549944,41.013258,"-81? 32' 59.798""","41? 0' 47.729"""
0,,2230700.11131,491518.503653,-81.549868,41.011875,"-81? 32' 59.526""","41? 0' 42.751"""
0,,2230706.69297,491340.799039,-81.549851,41.011387,"-81? 32' 59.465""","41? 0' 40.995"""
0,,2230680.36636,492331.337721,-81.549908,41.014107,"-81? 32' 59.668""","41? 0' 50.785"""
0,,2230706.69297,492403.735897,-81.549809,41.014305,"-81? 32' 59.314""","41? 0' 51.497"""
0,,2230621.13149,492703.20108,-81.550108,41.015129,"-81? 33' 0.388""","41? 0' 54.465"""
0,,2230693.52966,492795.344213,-81.549842,41.01538,"-81? 32' 59.430""","41? 0' 55.368"""
0,,2230663.91223,492854.579084,-81.549947,41.015543,"-81? 32' 59.808""","41? 0' 55.956"""
0,,2230663.91223,493061.901134,-81.549938,41.016112,"-81? 32' 59.779""","41? 0' 58.005"""
0,,2230686.94801,493114.554353,-81.549853,41.016256,"-81? 32' 59.471""","41? 0' 58.523"""
0,,2230607.96818,493177.080051,-81.550137,41.01643,"-81? 33' 0.492""","41? 0' 59.149"""
0,,2230663.91223,493344.912186,-81.549927,41.016889,"-81? 32' 59.738""","41? 1' 0.801"""
0,,2230700.11131,493404.147057,-81.549794,41.017051,"-81? 32' 59.258""","41? 1' 1.382"""
0,,2230657.33057,493624.632412,-81.54994,41.017657,"-81? 32' 59.784""","41? 1' 3.566"""
0,,2230394.06448,493805.627852,-81.550887,41.018162,"-81? 33' 3.193""","41? 1' 5.382"""
0,,2230285.46721,493486.417712,-81.551293,41.017289,"-81? 33' 4.655""","41? 1' 2.240"""
0,,2230170.2883,493177.080051,-81.551723,41.016443,"-81? 33' 6.298""","41? 0' 59.119"""
0,,2230061.69103,492913.813956,-81.552127,41.015724,"-81? 33' 7.656""","41? 0' 56.606"""
0,,2230509.2434,494124.837992,-81.550457,41.019034,"-81? 33' 1.645""","41? 1' 8.524"""
0,,2230621.13149,494444.048132,-81.550039,41.019907,"-81? 33' 0.140""","41? 1' 11.666"""
0,,2230634.29479,494934.381234,-81.549972,41.021253,"-81? 32' 59.566""","41? 1' 16.048"""
0,,2229953.09377,492637.384556,-81.552531,41.014969,"-81? 33' 8.910""","41? 0' 54.647"""
0,,2229837.91485,492364.245983,-81.552959,41.014222,"-81? 33' 10.378""","41? 0' 51.867"""
0,,2229624.01115,491857.45875,-81.553754,41.012838,"-81? 33' 13.515""","41? 0' 46.216"""
0,,2229545.03132,491564.575219,-81.554052,41.012036,"-81? 33' 14.586""","41? 0' 43.330"""
0,,2229482.50563,491327.635734,-81.554288,41.011388,"-81? 33' 15.435""","41? 0' 40.996"""
0,,2229426.56158,491090.696249,-81.5545,41.010739,"-81? 33' 16.199""","41? 0' 38.661"""
0,,2229344.29093,490968.93568,-81.554803,41.010407,"-81? 33' 17.522""","41? 0' 37.023"""
0,,2229271.89275,490972.226506,-81.555065,41.010419,"-81? 33' 21.580""","41? 0' 37.510"""
0,,2228876.99361,490978.808158,-81.556495,41.010448,"-81? 33' 26.032""","41? 0' 38.336"""
0,,2229357.45423,490827.430154,-81.55476,41.010019,"-81? 33' 17.137""","41? 0' 36.067"""
0,,2229288.34688,490758.322804,-81.555013,41.009831,"-81? 33' 18.214""","41? 0' 35.254"""
0,,2229301.51019,490574.036538,-81.554973,41.009325,"-81? 33' 17.903""","41? 0' 33.569"""
0,,2229291.63771,490478.602578,-81.555013,41.009063,"-81? 33' 18.045""","41? 0' 32.628"""
0,,2229183.04044,490304.18879,-81.555413,41.008588,"-81? 33' 19.486""","41? 0' 30.916"""
0,,2228027.96045,490959.063201,-81.559572,41.010419,"-81? 33' 34.461""","41? 0' 37.510"""
0,,2227748.24023,490952.481549,-81.560586,41.01041,"-81? 33' 38.110""","41? 0' 37.474"""
0,,2226425.3281,490893.246678,-81.565382,41.010286,"-81? 33' 52.413""","41? 0' 37.459"""
0,,2225829.68856,490896.537504,-81.56754,41.010313,"-81? 34' 7.903""","41? 0' 37.385"""
0,,2223634.70749,490916.282461,-81.575492,41.010431,"-81? 34' 29.800""","41? 0' 37.201"""
0,,2229255.43862,490215.336483,-81.555154,41.008342,"-81? 33' 18.555""","41? 0' 30.030"""
0,,2229225.82118,489998.141955,-81.55527,41.007746,"-81? 33' 18.972""","41? 0' 27.887"""
0,,2229156.71383,489899.417169,-81.555524,41.007478,"-81? 33' 19.887""","41? 0' 26.919"""
0,,2229100.76979,489698.676772,-81.555735,41.006928,"-81? 33' 20.645""","41? 0' 24.942"""
0,,2229160.00466,489497.936375,-81.555528,41.006376,"-81? 33' 19.901""","41? 0' 22.952"""
0,,2229084.31566,489372.88498,-81.555807,41.006035,"-81? 33' 20.906""","41? 0' 21.725"""
0,,2229120.51474,489205.052844,-81.555683,41.005573,"-81? 33' 20.457""","41? 0' 20.062"""
0,,2229090.89731,489007.603273,-81.555798,41.005032,"-81? 33' 20.871""","41? 0' 18.115"""
0,,2229038.24409,488994.439968,-81.555989,41.004997,"-81? 33' 21.560""","41? 0' 17.990"""
0,,2229067.86153,488619.285783,-81.555896,41.003967,"-81? 33' 21.227""","41? 0' 14.280"""
0,,2228992.17252,488609.413305,-81.556171,41.003942,"-81? 33' 22.215""","41? 0' 14.191"""
0,,2229018.49913,488415.25456,-81.556083,41.003408,"-81? 33' 21.899""","41? 0' 12.270"""
0,,2228926.356,488089.462767,-81.55643,41.002517,"-81? 33' 23.354""","41? 0' 8.846"""
0,,2228952.68261,487977.574677,-81.556339,41.002209,"-81? 33' 22.788""","41? 0' 7.741"""
0,,2228982.30005,487921.630632,-81.556234,41.002054,"-81? 33' 22.791""","41? 0' 7.152"""
0,,2228936.22848,486134.712013,-81.556471,40.997151,"-81? 33' 23.294""","40? 59' 49.745"""
0,,2228774.978,486526.320329,-81.557039,40.998231,"-81? 33' 25.445""","40? 59' 53.535"""
0,,2228811.17708,486878.438731,-81.556894,40.999196,"-81? 33' 24.805""","40? 59' 57.194"""
0,,2228870.41195,487240.429611,-81.556666,41.000188,"-81? 33' 23.996""","41? 0' 0.677"""
0,,2228919.77435,487480.659923,-81.556477,41.000846,"-81? 33' 23.319""","41? 0' 3.046"""
0,,2228896.73856,487513.568185,-81.55656,41.000937,"-81? 33' 23.615""","41? 0' 3.373"""
0,,2228942.81013,487704.436103,-81.556385,41.00146,"-81? 33' 22.974""","41? 0' 5.198"""
0,,2228936.22848,487786.706758,-81.556406,41.001686,"-81? 33' 23.167""","41? 0' 5.791"""
0,,2228857.24865,487576.093882,-81.5567,41.00111,"-81? 33' 24.177""","41? 0' 3.872"""
0,,2228807.88626,487240.429611,-81.556892,41.00019,"-81? 33' 24.812""","41? 0' 0.684"""
0,,2228758.52386,486848.821295,-81.557086,40.999117,"-81? 33' 25.557""","40? 59' 56.642"""
0,,2228692.70734,486342.034063,-81.557345,40.997728,"-81? 33' 26.500""","40? 59' 51.444"""
0,,2228702.57982,486022.823922,-81.557321,40.996851,"-81? 33' 26.357""","40? 59' 48.665"""
0,,2228672.96238,485779.302785,-81.557438,40.996184,"-81? 33' 26.777""","40? 59' 46.262"""
0,,2228587.4009,485542.363299,-81.557757,40.995536,"-81? 33' 27.927""","40? 59' 43.930"""
0,,2228531.45686,484624.222793,-81.557996,40.993018,"-81? 33' 28.860""","40? 59' 34.822"""
0,,2228511.7119,484959.887064,-81.558054,40.99394,"-81? 33' 28.963""","40? 59' 38.095"""
0,,2228600.56421,485216.571507,-81.557722,40.994641,"-81? 33' 27.801""","40? 59' 40.709"""
0,,2224361.98008,487010.071778,-81.573008,40.999689,"-81? 34' 20.942""","40? 59' 58.902"""
0,,2224121.74977,487010.071778,-81.573878,40.999696,"-81? 34' 25.134""","40? 59' 58.902"""
0,,2223368.15057,486993.617647,-81.576609,40.999672,"-81? 34' 35.791""","40? 59' 58.821"""
0,,2222858.07251,486973.87269,-81.578457,40.999633,"-81? 34' 42.513""","40? 59' 58.777"""
0,,2222384.19354,486960.709385,-81.580174,40.999611,"-81? 34' 48.966""","40? 59' 58.714"""
0,,2221768.80905,486957.418559,-81.582404,40.999619,"-81? 34' 55.760""","40? 59' 58.936"""
0,,2220784.85202,486921.219471,-81.58597,40.999548,"-81? 35' 8.533""","40? 59' 58.413"""
0,,2221222.5319,486184.074406,-81.584412,40.997513,"-81? 35' 3.885""","40? 59' 51.045"""
0,,2221620.72187,485532.490821,-81.582995,40.995713,"-81? 34' 58.781""","40? 59' 44.566"""
0,,2221791.84483,485262.643074,-81.582385,40.994967,"-81? 34' 56.586""","40? 59' 41.882"""
0,,2221962.96779,484999.376979,-81.581775,40.99424,"-81? 34' 54.391""","40? 59' 39.263"""
0,,2222107.76414,484749.274189,-81.58126,40.993549,"-81? 34' 52.537""","40? 59' 36.776"""
0,,2222262.43297,484509.043877,-81.580709,40.992885,"-81? 34' 50.553""","40? 59' 34.387"""
0,,2223039.06795,483245.366622,-81.577944,40.989394,"-81? 34' 40.600""","40? 59' 21.820"""
0,,2222505.95411,484104.272256,-81.579843,40.991767,"-81? 34' 47.433""","40? 59' 30.362"""
0,,2222677.07707,483824.55203,-81.579233,40.990995,"-81? 34' 45.240""","40? 59' 27.580"""
0,,2236913.0146,497322.954881,-81.527122,41.027618,"-81? 31' 37.639""","41? 1' 39.426"""
0,,2237046.8419,497047.865426,-81.526648,41.026859,"-81? 31' 35.933""","41? 1' 36.693"""
0,,2240243.82747,496921.472973,-81.515067,41.026414,"-81? 30' 54.240""","41? 1' 35.090"""
0,,2229695.85163,491023.690958,-81.553527,41.010547,"-81? 33' 12.696""","41? 0' 37.970"""
